trace, bp_cnt_sat_bits_p, bht_idx_width_p, accuracy
long_mobile_1, 1, 9, 0.8739038772828385
long_mobile_1, 1, 6, 0.8728961439131808
long_mobile_1, 1, 12, 0.8740860796852111
long_mobile_1, 1, 3, 0.8163789607712044
long_mobile_1, 1, 15, 0.8741109518676464
long_mobile_1, 2, 9, 0.934024964496497
long_mobile_1, 2, 6, 0.930329600490228
long_mobile_1, 2, 3, 0.8891995861788152
long_mobile_1, 2, 12, 0.9342236344702073
long_mobile_1, 3, 3, 0.892677694404719
long_mobile_1, 2, 15, 0.9342453976298382
long_mobile_1, 3, 6, 0.9282402688354936
long_mobile_1, 3, 9, 0.9307551266334029
long_mobile_1, 3, 12, 0.9308978683617196
long_mobile_1, 3, 15, 0.9309101677925942
long_mobile_1, 4, 6, 0.9219179172198421
long_mobile_1, 4, 3, 0.890576644125568
long_mobile_1, 4, 9, 0.9247141586640932
long_mobile_1, 4, 12, 0.9250205511532135
long_mobile_1, 5, 3, 0.8871075554823056
long_mobile_1, 4, 15, 0.9250330555746026
long_mobile_1, 5, 6, 0.9109003261979893
long_mobile_1, 5, 9, 0.9142216850104137
long_mobile_1, 5, 12, 0.9148923114788504
long_mobile_1, 5, 15, 0.9149063533290989
short_mobile_1, 1, 9, 0.9418772402412444
short_mobile_1, 1, 12, 0.9683527476571617
short_mobile_1, 1, 3, 0.5720503355245516
short_mobile_1, 1, 6, 0.7871009516831682
short_mobile_1, 2, 6, 0.8650200560932041
short_mobile_1, 2, 3, 0.6758390274361209
short_mobile_1, 2, 9, 0.9608194994823034
short_mobile_1, 1, 15, 0.9689728313096393
short_mobile_1, 2, 12, 0.9750857446297226
short_mobile_1, 3, 6, 0.8761448921599388
short_mobile_1, 2, 15, 0.9754332963555742
short_mobile_1, 3, 3, 0.7200160266297482
short_mobile_1, 3, 9, 0.9602723350746729
short_mobile_1, 3, 12, 0.9742802120335599
short_mobile_1, 4, 3, 0.7216805659349615
short_mobile_1, 3, 15, 0.974610659245188
short_mobile_1, 4, 6, 0.876645304228692
short_mobile_1, 4, 9, 0.9560778880762211
short_mobile_1, 4, 15, 0.9703627381338483
short_mobile_1, 4, 12, 0.9700307905262356
short_mobile_1, 5, 3, 0.7180395249914358
short_mobile_1, 5, 6, 0.8698878207936639
short_mobile_1, 5, 9, 0.9490032809459072
short_mobile_1, 5, 12, 0.9629382986757865
short_mobile_1, 5, 15, 0.9632749875347102
long_server_1, 1, 3, 0.6698759893409857
long_server_1, 1, 6, 0.7453168013482666
long_server_1, 1, 12, 0.8779826547962332
long_server_1, 1, 9, 0.8172005571053971
long_server_1, 2, 3, 0.7090725075562101
long_server_1, 2, 6, 0.7774428328929376
long_server_1, 2, 9, 0.8368505996910011
long_server_1, 1, 15, 0.9203644616124692
long_server_1, 3, 3, 0.7248184504495233
long_server_1, 3, 6, 0.776526583263005
long_server_1, 2, 12, 0.8997019258984694
long_server_1, 2, 15, 0.9430278021027569
long_server_1, 3, 9, 0.8264809523603728
long_server_1, 3, 12, 0.8997599172295193
long_server_1, 4, 3, 0.7236106896884545
long_server_1, 3, 15, 0.9449579385291221
long_server_1, 4, 6, 0.7657936441970192
long_server_1, 4, 9, 0.8145328352712187
long_server_1, 4, 15, 0.94449637309619
long_server_1, 4, 12, 0.8960637554884473
long_server_1, 5, 3, 0.7165151504948745
long_server_1, 5, 6, 0.7533985951893193
long_server_1, 5, 9, 0.8041530369450341
long_server_1, 5, 12, 0.8926325514822145
long_server_1, 5, 15, 0.9438077268775146
short_server_1, 1, 6, 0.7435620108164058
short_server_1, 1, 3, 0.6600432459607014
short_server_1, 1, 9, 0.8151845126080547
short_server_1, 1, 12, 0.8812277092910439
short_server_1, 2, 6, 0.7731332893452015
short_server_1, 2, 3, 0.6966033464248136
short_server_1, 2, 9, 0.8340387253461455
short_server_1, 1, 15, 0.9239466178115661
short_server_1, 3, 3, 0.7145644439771365
short_server_1, 2, 15, 0.9453500331835628
short_server_1, 3, 6, 0.7716926618446871
short_server_1, 2, 12, 0.9021818730080412
short_server_1, 3, 12, 0.9022310943681713
short_server_1, 3, 15, 0.9470168838758402
short_server_1, 3, 9, 0.8245043679958286
short_server_1, 4, 3, 0.7133407285735757
short_server_1, 4, 9, 0.8138501997776019
short_server_1, 4, 6, 0.7606725693343652
short_server_1, 4, 15, 0.9460223349756695
short_server_1, 4, 12, 0.8982218617847909
short_server_1, 5, 9, 0.8041223121019334
short_server_1, 5, 6, 0.7482748249219411
short_server_1, 5, 3, 0.7045462391395703
short_server_1, 5, 12, 0.893756827702716
short_server_1, 5, 15, 0.9448182084163558
