trace, bp_cnt_sat_bits_p, bht_idx_width_p, bp_n_hist, accuracy
short_mobile_1, 3, 6, 3, 0.8410713355468775
short_mobile_1, 5, 3, 3, 0.7252075767836648
short_mobile_1, 5, 6, 3, 0.8250074959783386
short_mobile_1, 2, 6, 3, 0.8371096299735427
short_mobile_1, 1, 9, 3, 0.9298624893081782
short_mobile_1, 1, 3, 3, 0.5674710669639932
short_mobile_1, 3, 15, 3, 0.9730639910485175
short_mobile_1, 2, 12, 3, 0.9730717330917976
short_mobile_1, 3, 9, 3, 0.9506640392532397
short_mobile_1, 1, 6, 3, 0.734333165208962
short_mobile_1, 1, 12, 3, 0.966902764977733
short_mobile_1, 4, 3, 3, 0.7255121571685199
short_mobile_1, 2, 9, 3, 0.9519638623025389
short_mobile_1, 4, 12, 3, 0.966340536594418
short_mobile_1, 4, 15, 3, 0.9674638530600996
short_mobile_1, 5, 9, 3, 0.9318945055979174
short_mobile_1, 5, 15, 3, 0.9587205655316551
short_mobile_1, 2, 3, 3, 0.6624939053915109
short_mobile_1, 3, 3, 3, 0.7237461910947537
short_mobile_1, 3, 12, 3, 0.9718806587434555
short_mobile_1, 5, 12, 3, 0.9575631600692055
short_mobile_1, 2, 15, 3, 0.9743342262890022
short_mobile_1, 4, 6, 3, 0.8353962377750735
short_mobile_1, 1, 15, 3, 0.9689642490446079
short_mobile_1, 4, 9, 3, 0.9436781955493694
short_mobile_1, 5, 6, 6, 0.7999969752016952
short_mobile_1, 5, 12, 6, 0.9516883895997832
short_mobile_1, 1, 6, 6, 0.6777205240006943
short_mobile_1, 3, 12, 6, 0.9661429044353386
short_mobile_1, 3, 15, 6, 0.9737533929954794
short_mobile_1, 2, 6, 6, 0.8037696908968215
short_mobile_1, 2, 12, 6, 0.9673074517826745
short_mobile_1, 3, 9, 6, 0.9499466099092873
short_mobile_1, 2, 9, 6, 0.9528185478711542
short_mobile_1, 4, 15, 6, 0.9686344019913735
short_mobile_1, 1, 3, 6, 0.5674710669639932
short_mobile_1, 4, 3, 6, 0.7255121571685199
short_mobile_1, 4, 9, 6, 0.9418444115771034
short_mobile_1, 1, 15, 6, 0.9691501180991687
short_mobile_1, 3, 6, 6, 0.8138503113741778
short_mobile_1, 1, 12, 6, 0.9554268362506233
short_mobile_1, 2, 15, 6, 0.9747754627401264
short_mobile_1, 2, 3, 6, 0.6624939053915109
short_mobile_1, 4, 6, 6, 0.809240674798893
short_mobile_1, 4, 12, 6, 0.9605701336696781
short_mobile_1, 5, 3, 6, 0.7252075767836648
short_mobile_1, 5, 15, 6, 0.960825441050402
short_mobile_1, 1, 9, 6, 0.9300182904272095
short_mobile_1, 3, 3, 6, 0.7237461910947537
short_mobile_1, 5, 9, 6, 0.9288494819552776
long_server_1, 4, 3, 3, 0.7149937541225856
long_server_1, 2, 12, 3, 0.8787915316843895
long_server_1, 5, 9, 3, 0.7841411163930906
long_server_1, 3, 12, 3, 0.877999673627067
long_server_1, 3, 15, 3, 0.9443750100714292
long_server_1, 5, 15, 3, 0.9417408501756943
long_server_1, 1, 3, 3, 0.6500992033679596
long_server_1, 4, 9, 3, 0.7935283617643288
long_server_1, 4, 6, 3, 0.7541785534657124
long_server_1, 4, 12, 3, 0.8743880097110521
long_server_1, 1, 6, 3, 0.7185005445188326
long_server_1, 5, 3, 3, 0.7127846696783967
long_server_1, 3, 3, 3, 0.7159836470476734
long_server_1, 4, 15, 3, 0.9432552916084533
long_server_1, 3, 6, 3, 0.7586774344943359
long_server_1, 1, 9, 3, 0.7871372346590902
long_server_1, 2, 6, 3, 0.7523649692292503
long_server_1, 2, 15, 3, 0.9431611922146621
long_server_1, 3, 9, 3, 0.8042629558111083
long_server_1, 2, 3, 3, 0.6984727039896997
long_server_1, 5, 12, 3, 0.8702387986527921
long_server_1, 5, 6, 3, 0.7459833297871852
long_server_1, 1, 15, 3, 0.9234258209634407
long_server_1, 2, 9, 3, 0.8085449338508532
long_server_1, 1, 3, 6, 0.6500992033679596
long_server_1, 2, 6, 6, 0.7530759811397852
long_server_1, 4, 3, 6, 0.7149937541225856
long_server_1, 1, 9, 6, 0.7848363624339595
long_server_1, 2, 3, 6, 0.6984727039896997
long_server_1, 5, 15, 6, 0.9431792361955422
long_server_1, 2, 12, 6, 0.8782997075742742
long_server_1, 4, 6, 6, 0.7578950641001868
long_server_1, 1, 15, 6, 0.9253377056987857
long_server_1, 2, 9, 6, 0.8079803642894141
long_server_1, 4, 12, 6, 0.8746577447791135
long_server_1, 3, 9, 6, 0.8055142820989807
long_server_1, 4, 15, 6, 0.9444249543096319
long_server_1, 2, 15, 6, 0.9438314192341399
long_server_1, 4, 9, 6, 0.7971414394493618
long_server_1, 5, 9, 6, 0.7899092872865414
long_server_1, 3, 6, 6, 0.7618759227397343
long_server_1, 5, 6, 6, 0.7518031602025763
long_server_1, 1, 12, 6, 0.8578515890277989
long_server_1, 3, 3, 6, 0.7159836470476734
long_server_1, 3, 12, 6, 0.8782162482999176
long_server_1, 1, 6, 6, 0.7140219386800134
long_server_1, 5, 3, 6, 0.7127846696783967
long_server_1, 5, 12, 6, 0.8708573326486939
long_server_1, 1, 12, 3, 0.8585988966102341
long_server_1, 3, 15, 6, 0.9452807937904316
long_mobile_1, 5, 15, 3, 0.9270546378642694
long_mobile_1, 2, 12, 3, 0.9472306242709384
long_mobile_1, 1, 3, 3, 0.6482476881255179
long_mobile_1, 2, 3, 3, 0.8131710300435123
long_mobile_1, 3, 3, 3, 0.8072679181952553
long_mobile_1, 1, 9, 3, 0.9022958493486444
long_mobile_1, 5, 6, 3, 0.8861227468851948
long_mobile_1, 1, 12, 3, 0.90355097210431
long_mobile_1, 1, 6, 3, 0.839926528666369
long_mobile_1, 3, 15, 3, 0.943937929965469
long_mobile_1, 3, 6, 3, 0.9022698497183789
long_mobile_1, 2, 9, 3, 0.9456971927266495
long_mobile_1, 4, 15, 3, 0.9378031446706548
long_mobile_1, 1, 15, 3, 0.9036469759953033
long_mobile_1, 5, 3, 3, 0.807576121433921
long_mobile_1, 2, 15, 3, 0.9473608274127802
long_mobile_1, 4, 3, 3, 0.8118661629229762
long_mobile_1, 4, 6, 3, 0.8996872425554022
long_mobile_1, 4, 12, 3, 0.9371906330131006
long_mobile_1, 3, 9, 3, 0.941723554096843
long_mobile_1, 5, 9, 3, 0.9229945274023974
long_mobile_1, 5, 12, 3, 0.9261740327787349
long_mobile_1, 2, 6, 3, 0.9049046269673153
long_mobile_1, 3, 12, 3, 0.9436253535958258
long_mobile_1, 4, 9, 3, 0.9347964462981053
long_mobile_1, 5, 3, 6, 0.807576121433921
long_mobile_1, 5, 9, 6, 0.9243648206621693
long_mobile_1, 5, 12, 6, 0.9278863527120774
long_mobile_1, 1, 15, 6, 0.9159009673058237
long_mobile_1, 5, 15, 6, 0.9293607128230825
long_mobile_1, 5, 6, 6, 0.90063966265121
long_mobile_1, 2, 3, 6, 0.8131710300435123
long_mobile_1, 1, 3, 6, 0.6482476881255179
long_mobile_1, 1, 9, 6, 0.9130020939439413
long_mobile_1, 3, 6, 6, 0.9185980275061055
long_mobile_1, 2, 6, 6, 0.9217198963827613
long_mobile_1, 4, 9, 6, 0.938070520631834
long_mobile_1, 3, 3, 6, 0.8072679181952553
long_mobile_1, 1, 6, 6, 0.8596004933028403
long_mobile_1, 2, 15, 6, 0.9534838940831777
long_mobile_1, 2, 9, 6, 0.9502621948259232
long_mobile_1, 2, 12, 6, 0.9526282978404215
long_mobile_1, 3, 9, 6, 0.9457242173094879
long_mobile_1, 3, 15, 6, 0.9492687424621145
long_mobile_1, 4, 6, 6, 0.9116227811015282
long_mobile_1, 3, 12, 6, 0.9482634006484602
long_mobile_1, 4, 3, 6, 0.8118661629229762
long_mobile_1, 1, 12, 6, 0.9151910509887597
long_mobile_1, 4, 12, 6, 0.9408092622367464
long_mobile_1, 4, 15, 6, 0.9419503761012219
short_server_1, 4, 9, 3, 0.7910945993014563
short_server_1, 1, 12, 3, 0.8564746492352799
short_server_1, 4, 12, 3, 0.8736174671422388
short_server_1, 4, 15, 3, 0.943180474401841
