trace, bp_cnt_sat_bits_p, bht_idx_width_p, accuracy
short_mobile_1, 1, 3, 0.5802150103455304
short_mobile_1, 1, 6, 0.8280454977677709
short_mobile_1, 1, 9, 0.9372221716755487
short_mobile_1, 2, 3, 0.6374682006075043
short_mobile_1, 1, 12, 0.9649642533657483
short_mobile_1, 2, 6, 0.8826209613241126
short_mobile_1, 1, 15, 0.9684903639768607
short_mobile_1, 2, 9, 0.9545130950960578
short_mobile_1, 3, 3, 0.7055212411659685
short_mobile_1, 2, 12, 0.9708761136239076
short_mobile_1, 3, 6, 0.889638673438694
short_mobile_1, 2, 15, 0.973819290387119
short_mobile_1, 3, 9, 0.9511453062692306
short_mobile_1, 4, 3, 0.7094485576633385
short_mobile_1, 3, 12, 0.9682734067175008
short_mobile_1, 4, 6, 0.8807680923149237
short_mobile_1, 3, 15, 0.9727391853257912
short_mobile_1, 4, 9, 0.940774149113434
short_mobile_1, 5, 3, 0.705709870949141
short_mobile_1, 4, 12, 0.9606954467423042
short_mobile_1, 5, 6, 0.8666288406836332
short_mobile_1, 4, 15, 0.9675849650239692
short_mobile_1, 5, 9, 0.9240767823443964
short_mobile_1, 5, 12, 0.9482913130433384
short_mobile_1, 5, 15, 0.9598427416963885
long_mobile_1, 1, 3, 0.5943546227257199
long_mobile_1, 1, 6, 0.8068949721190692
long_mobile_1, 2, 3, 0.7021929577763613
long_mobile_1, 1, 9, 0.9363024432785267
long_mobile_1, 1, 12, 0.9766843105419071
long_mobile_1, 2, 6, 0.887803429949121
long_mobile_1, 1, 15, 0.9806752025400238
long_mobile_1, 2, 9, 0.9592930519455872
long_mobile_1, 3, 3, 0.7381368145642481
long_mobile_1, 2, 12, 0.9807246394191225
long_mobile_1, 3, 6, 0.8846034255213259
long_mobile_1, 2, 15, 0.9841554973314164
long_mobile_1, 3, 9, 0.9540737542888713
long_mobile_1, 4, 3, 0.7502073051991368
long_mobile_1, 3, 12, 0.9760522564552965
long_mobile_1, 4, 6, 0.8810468059283394
long_mobile_1, 3, 15, 0.9802633082660682
long_mobile_1, 4, 9, 0.9444904818975097
long_mobile_1, 5, 3, 0.7412385943704753
long_mobile_1, 4, 12, 0.9671511924964452
long_mobile_1, 5, 6, 0.865864217631323
long_mobile_1, 4, 15, 0.9717707562376819
long_mobile_1, 5, 9, 0.9294395316759372
long_mobile_1, 5, 12, 0.9511970199025632
long_mobile_1, 5, 15, 0.9556894211945911
short_server_1, 1, 3, 0.6099310680751654
short_server_1, 1, 6, 0.6632474589727501
short_server_1, 1, 9, 0.7677605448928975
short_server_1, 2, 3, 0.663255673369707
short_server_1, 1, 12, 0.8284684539067516
short_server_1, 2, 6, 0.7139213672321455
short_server_1, 1, 15, 0.9203203148391524
short_server_1, 2, 9, 0.787752869915232
short_server_1, 3, 3, 0.67806375592711
short_server_1, 2, 12, 0.851865570609205
short_server_1, 3, 6, 0.7178816688852618
short_server_1, 2, 15, 0.9401717033505307
short_server_1, 3, 9, 0.7825637941771568
short_server_1, 4, 3, 0.6765746873258071
short_server_1, 3, 12, 0.8556050415295635
short_server_1, 4, 6, 0.7088025668521002
short_server_1, 3, 15, 0.9406061257432664
short_server_1, 4, 9, 0.7742309581869076
short_server_1, 5, 3, 0.6681340151597801
short_server_1, 4, 12, 0.8517309108511741
short_server_1, 5, 6, 0.695939839889396
short_server_1, 4, 15, 0.9379824300161121
short_server_1, 5, 9, 0.7670654205150502
short_server_1, 5, 12, 0.8461225584211379
short_server_1, 5, 15, 0.9350595395096628
long_server_1, 1, 3, 0.6412982902205812
long_server_1, 2, 3, 0.6842806205534745
long_server_1, 2, 6, 0.7321703575586005
long_server_1, 1, 6, 0.687686999847802
long_server_1, 1, 9, 0.7743814802422933
long_server_1, 2, 9, 0.7944410602208984
long_server_1, 3, 3, 0.7001035502051657
long_server_1, 1, 12, 0.8288559369035557
long_server_1, 3, 6, 0.7366146979246306
long_server_1, 1, 15, 0.917319745874014
long_server_1, 4, 3, 0.6992114820557367
long_server_1, 2, 12, 0.8505504502971578
long_server_1, 3, 9, 0.788478780851363
long_server_1, 2, 15, 0.9377214981569578
long_server_1, 4, 6, 0.72780942286431
long_server_1, 3, 12, 0.8539501158637313
long_server_1, 5, 3, 0.6913326478228677
long_server_1, 4, 9, 0.7788437841852782
long_server_1, 3, 15, 0.9394339409558465
long_server_1, 5, 6, 0.7158140483681202
long_server_1, 4, 12, 0.850648569887209
long_server_1, 5, 9, 0.7704735278619199
long_server_1, 4, 15, 0.9381445702107009
long_server_1, 5, 12, 0.8462969687485689
long_server_1, 5, 15, 0.9366605080610128
