trace, bp_cnt_sat_bits_p, bht_idx_width_p, accuracy
short_mobile_1, 1, 9, 0.9279758313814181
short_mobile_1, 4, 12, 0.9700199276593079
short_mobile_1, 2, 6, 0.8471025072937249
short_mobile_1, 4, 9, 0.9560736269516251
short_mobile_1, 5, 9, 0.9490013004232077
short_mobile_1, 1, 3, 0.5554286487289726
short_mobile_1, 5, 12, 0.9629373984381958
short_mobile_1, 2, 15, 0.975460723594171
short_mobile_1, 4, 15, 0.9703525354411536
short_mobile_1, 5, 15, 0.9632536819117301
short_mobile_1, 3, 9, 0.9599555714744236
short_mobile_1, 3, 6, 0.8721387748654625
short_mobile_1, 4, 3, 0.7330930579198462
short_mobile_1, 1, 15, 0.9686042740400046
short_mobile_1, 2, 3, 0.6703066473303634
short_mobile_1, 4, 6, 0.8766969178505591
short_mobile_1, 2, 9, 0.958398160442504
short_mobile_1, 1, 12, 0.9649101790944666
short_mobile_1, 5, 3, 0.7311412828073586
short_mobile_1, 3, 3, 0.7275788025975816
short_mobile_1, 3, 15, 0.9745335989074236
short_mobile_1, 5, 6, 0.8696200901341882
short_mobile_1, 2, 12, 0.974737532729638
short_mobile_1, 1, 6, 0.7282631632140355
short_mobile_1, 3, 12, 0.9742449827358436
long_mobile_1, 2, 15, 0.9845363355424136
long_mobile_1, 3, 15, 0.9821833177557625
long_mobile_1, 4, 6, 0.9292675787992933
long_mobile_1, 5, 6, 0.917869354556958
long_mobile_1, 1, 3, 0.7632645860061107
long_mobile_1, 4, 12, 0.9719810765056374
long_mobile_1, 3, 6, 0.9357030168488195
long_mobile_1, 5, 3, 0.8895631368564165
long_mobile_1, 5, 15, 0.9622992036767646
long_mobile_1, 2, 3, 0.8958601379784321
long_mobile_1, 4, 15, 0.9759263581142609
long_mobile_1, 2, 9, 0.9591686568683251
long_mobile_1, 5, 9, 0.9338843751685834
long_mobile_1, 1, 9, 0.9072181499148247
long_mobile_1, 5, 12, 0.9572335805758094
long_mobile_1, 1, 15, 0.98092744336821
long_mobile_1, 1, 12, 0.9794674667583111
long_mobile_1, 4, 9, 0.9477629163071218
long_mobile_1, 4, 3, 0.8958030822852083
long_mobile_1, 1, 6, 0.859528541632224
long_mobile_1, 3, 3, 0.8989663934108942
long_mobile_1, 2, 6, 0.9353003471480199
long_mobile_1, 3, 12, 0.9796591670545258
long_mobile_1, 3, 9, 0.9552469150037921
long_mobile_1, 2, 12, 0.9833934792585644
long_server_1, 4, 3, 0.730447542653361
long_server_1, 3, 3, 0.7266021311261384
long_server_1, 3, 6, 0.7761405841191058
long_server_1, 3, 9, 0.8253981526997176
long_server_1, 1, 6, 0.7351805666124912
long_server_1, 1, 3, 0.6658557729800533
long_server_1, 2, 6, 0.7704238516368012
long_server_1, 4, 6, 0.7693170380038198
long_server_1, 2, 3, 0.7042149982198906
long_server_1, 5, 3, 0.726345140080221
long_server_1, 5, 6, 0.7590812900099564
long_server_1, 2, 9, 0.8316102336641922
long_server_1, 1, 9, 0.8059691807064483
long_server_1, 2, 12, 0.8956266663504112
long_server_1, 4, 9, 0.8141559686731566
long_server_1, 1, 12, 0.8668761322924643
long_server_1, 5, 9, 0.804783443920557
long_server_1, 4, 12, 0.8967244546427889
long_server_1, 3, 12, 0.8992682807285628
long_server_1, 3, 15, 0.9472680304043423
long_server_1, 2, 15, 0.9444628044574194
long_server_1, 5, 12, 0.8934074577119743
long_server_1, 1, 15, 0.9198508949409147
long_server_1, 4, 15, 0.9464243453169019
long_server_1, 5, 15, 0.9455181461776192
short_server_1, 4, 12, 0.8984169049463102
short_server_1, 2, 3, 0.6880395536694626
short_server_1, 3, 3, 0.7154015928942441
short_server_1, 1, 3, 0.6540075975065824
short_server_1, 5, 3, 0.7167939570197089
short_server_1, 3, 12, 0.9007226536613271
short_server_1, 4, 3, 0.7207763183383209
short_server_1, 1, 6, 0.7323261289156274
short_server_1, 2, 6, 0.7644754666696444
short_server_1, 4, 6, 0.7632099857174395
short_server_1, 3, 6, 0.7703751029162071
short_server_1, 5, 6, 0.7533042249205402
short_server_1, 1, 9, 0.8033238337047484
short_server_1, 2, 9, 0.827477853985804
short_server_1, 3, 9, 0.8224619134608468
short_server_1, 4, 9, 0.8130579981333422
short_server_1, 5, 9, 0.8044500036862919
short_server_1, 4, 15, 0.9474401485599915
short_server_1, 5, 15, 0.9462333691189165
short_server_1, 5, 12, 0.8943817894266606
short_server_1, 3, 15, 0.9483561816965307
short_server_1, 1, 12, 0.8689444115849301
short_server_1, 1, 15, 0.9227122648723153
short_server_1, 2, 12, 0.8970103184269583
short_server_1, 2, 15, 0.9461190914687969
