trace, bp_cnt_sat_bits_p, bht_idx_width_p, bp_n_hist, accuracy
short_server_1.trace, 1, 3, 3, 0.6854854830842202
short_server_1.trace, 1, 6, 6, 0.743695781945742
short_server_1.trace, 1, 9, 9, 0.7979120459419474
short_server_1.trace, 1, 12, 12, 0.8926613999392299
short_server_1.trace, 1, 15, 15, 0.9540175484140518
short_server_1.trace, 2, 3, 3, 0.7132597289843735
short_server_1.trace, 2, 6, 6, 0.7674136329200918
short_server_1.trace, 2, 9, 9, 0.8282070973707479
short_server_1.trace, 2, 12, 12, 0.9179876515116259
short_server_1.trace, 2, 15, 15, 0.9663076647198561
short_server_1.trace, 3, 3, 3, 0.7272073805528717
short_server_1.trace, 3, 6, 6, 0.7808101309635829
short_server_1.trace, 3, 9, 9, 0.8436607491682608
short_server_1.trace, 3, 12, 12, 0.9241688963588799
short_server_1.trace, 3, 15, 15, 0.9678751927327269
short_server_1.trace, 4, 3, 3, 0.731662700406144
short_server_1.trace, 4, 6, 6, 0.7874535450927131
short_server_1.trace, 4, 9, 9, 0.8475761295571741
short_server_1.trace, 4, 12, 12, 0.9246842273105612
short_server_1.trace, 4, 15, 15, 0.9676582372880321
short_server_1.trace, 5, 3, 3, 0.7303704088760083
short_server_1.trace, 5, 6, 6, 0.7874758128273665
short_server_1.trace, 5, 9, 9, 0.847699141777145
short_server_1.trace, 5, 12, 12, 0.9242466145240733
short_server_1.trace, 5, 15, 15, 0.9671304655346271
long_server_1.trace, 1, 3, 3, 0.6896879520312862
long_server_1.trace, 1, 6, 6, 0.7529002114589731
long_server_1.trace, 1, 9, 9, 0.8046278623252969
long_server_1.trace, 1, 12, 12, 0.8892584275625459
long_server_1.trace, 1, 15, 15, 0.9522168651990337
long_server_1.trace, 2, 3, 3, 0.7194520847716004
long_server_1.trace, 2, 6, 6, 0.777772180771207
long_server_1.trace, 2, 9, 9, 0.8335633053102203
long_server_1.trace, 2, 12, 12, 0.9144710549051939
long_server_1.trace, 2, 15, 15, 0.9645906808701541
long_server_1.trace, 3, 3, 3, 0.7342186207517372
long_server_1.trace, 3, 6, 6, 0.7899580656678288
long_server_1.trace, 3, 9, 9, 0.8482682384830004
long_server_1.trace, 3, 12, 12, 0.9212815152816538
long_server_1.trace, 3, 15, 15, 0.9665738570858421
long_server_1.trace, 4, 3, 3, 0.7382530552067756
long_server_1.trace, 4, 6, 6, 0.7954981641271255
long_server_1.trace, 4, 9, 9, 0.8520831568215913
long_server_1.trace, 4, 12, 12, 0.9221960898298114
long_server_1.trace, 4, 15, 15, 0.9666159016383942
long_server_1.trace, 5, 3, 3, 0.7374612641527241
long_server_1.trace, 5, 6, 6, 0.7952526105395676
long_server_1.trace, 5, 9, 9, 0.852309661379204
long_server_1.trace, 5, 12, 12, 0.9219759706839248
long_server_1.trace, 5, 15, 15, 0.9662426063146764
short_mobile_1.trace, 1, 3, 3, 0.615050184044573
short_mobile_1.trace, 1, 6, 6, 0.9512676185498877
short_mobile_1.trace, 1, 9, 9, 0.980140758749049
short_mobile_1.trace, 1, 12, 12, 0.986665620790639
short_mobile_1.trace, 1, 15, 15, 0.9879482793098755
short_mobile_1.trace, 2, 3, 3, 0.6418177885507543
short_mobile_1.trace, 2, 6, 6, 0.9654462405718117
short_mobile_1.trace, 2, 9, 9, 0.9862278052423595
short_mobile_1.trace, 2, 12, 12, 0.9907619418917041
short_mobile_1.trace, 2, 15, 15, 0.9914625067847906
short_mobile_1.trace, 3, 3, 3, 0.6933422868963577
short_mobile_1.trace, 3, 6, 6, 0.9666212306751998
short_mobile_1.trace, 3, 9, 9, 0.986643054835032
short_mobile_1.trace, 3, 12, 12, 0.9904479390200662
short_mobile_1.trace, 3, 15, 15, 0.9911387213313337
short_mobile_1.trace, 4, 3, 3, 0.7045818132321482
short_mobile_1.trace, 4, 6, 6, 0.9659472527989587
short_mobile_1.trace, 4, 9, 9, 0.9858642292873935
short_mobile_1.trace, 4, 12, 12, 0.9895078509120127
